Name,Address,MOB.No,Alternate Mob,City,email,pincode,State,Branch type
SREE MA CHANDI ENTERPRISE,"ANUPAMA MANNA MANDAL C/O PLOT NO. 199 , MOUZA SANDAIL , P.S.-BAGNAN , P.O.- BARUNDA , DIST - HOWRAH , WEST BENGAL",8535982691,,HOWRAH,,711303,WEST BENGAL,DISTRICT
CHITRA SHOPPING STORE,"CHITRA DE C/O GANAKBANI, RADHANAGAR STATION ROAD,PO- AMLAGORA, PS-GARHBETA,PASCHIM MEDINIPUR, W.B.",9732838108,,PURBA MEDINIPUR,,721121,WEST BENGAL,DISTRICT
NEW SAI BABA HHI,"MINTU KUMAR ROY C/O MOHAN ROY , NEAR PALL BUILDING, SOUTH NOLDANGA, CHINSURAH-MAGRA , HOOGHLY, W.B.",9681209827,,HOOGHLY,,712123,WEST BENGAL,DISTRICT
M/S MAA LAXMI TRADERS CHANDIKHOLE,"MRS RITANJALI PARIDA AT CHANDIKHOLE, POST-SUNGUDA, DIST JAJPUR ODISHA",9777072077,,JAJPUR ROAD,,755044,ORISSA,DISTRICT
NEW VISHWAKARMA STORE HAPPY HEALTH INDIA,"SARITA DEVI AT BORA MARKET NEAR STATE ZOO, R G BARUA ROAD, GUWAHATI",9706842632,,GUWAHATI,,781024,ASSAM,DISTRICT
FR MARKETING,"RAVINDRA MEENA C/O AT- 40, TRIVENI NAGAR, BHERU KHEJARA, TODI MOD, JAIPUR, RAJASTHAN",7339784981,,JAIPUR,,303805,RAJASTHAN,DISTRICT
NANU RAI,"NANU RAI C/O UTTARPAN COMPLEX, F-34 DTDC COURIER, HILL CART ROAD OPP. BISWADEEP CINEMA HALL",7797425683,,DARJEELING,,734223,WEST BENGAL,DISTRICT
LILI ENTERPRISES,"SUSHANTA PATTANAIK C/O SOMNATH BHADRAK, AT- GOPINATHPUR, GHANTESWAR, DIST-BHADRAK, ODISHA",9606861903,,BHADRAK,,756100,ORISSA,DISTRICT
NEWFEEL ENTERPRISES,"PURNA CHANDRA JENA C/O WARD NO. 57, GOPALPUR, DIST- CUTTACK , ODISHA === GST NO=== 21ADYPJ2238G1ZK",7873336243,,CUTTACK,,733011,ORISSA,DISTRICT
RM ENTERPRISES,"MR.GAICHAENGSUI JEEVAN & MR.SURYA VIKRAM RIZAL C/O KANGLATONGBI, IMPHAL WEST, MANIPUR GST NO ===14FXXPM7179H1ZJ",7005335425,,IMPHAL,,795136,MANIPUR,WAREHOUSE
SOMA MANDAL,"SOMA MANDAL W/O MINTU KUMAR MANDAL, VILL- PASCHIM BEGUNI,PO - CHAKSHYAMPUR, PASCHIM MEDINIPUR, WEST BENGAL",9382740214,,PASCHIM MEDINIPUR,,721124,WEST BENGAL,DISTRICT
VL DUHAWMI,"VL DUHAWMI C/O AIZWAL ROAD, KEIFANG, AIDUZWAL, SAITUAL, MIZORAM",9862531909,,SAITUA,,796261,MIZORAM,DISTRICT
ATTRI GOODS & SERVICES,"AMANDEEP KUMAR S/O SAT PAL, H.NO. 233/34, GURU HAR RAI AVENUE, MAJITHA ROAD, AMRITSAR",9914833274,,AMRITSAR,,143001,PUNJAB,DISTRICT
CHOKADALA HHI CENTER,"SURESH CHANDRA PRADHAN C/O CHOKADALA, JALESWARPUR, BHOGRAI , DIST- BALESWAR, ODISHA",7683985995,,BALESWAR,,756036,ORISSA,DISTRICT
LG POINT,"SANJAY SHARMA C/O NEAR BHAGAT SINGH CIRCLE, CHIRAWA ROAD , PILANI , DIST - JHUNJHUNU, RAJASTHAN",9887422305,,JHUNJHUNU,,333031,RAJASTHAN,DISTRICT
GEHLOT SERVICES,"NARENDRA GEHLOT C/O NEAR JAI SHREE PETROL PUMP, IN FRONT OF VIVEK VIHAR BYPASS ROAD, SANGARIYA, DIST- JODHPUR , RAJASTHAN",9887674589,,JODHPUR,,342013,RAJASTHAN,DISTRICT
ANNAPURNA PANDA,"ANNAPURNA PANDA C/O C.225, SECTOR - 06, ROURKELA, DIST- SUNDERGARH, ODISHA",9437221358,,SUNDERGARH,,769002,ORISSA,DISTRICT
ROHIT ENTERPRISE,"MADHU SINGH BHANWAR C/O MIRCH KARKHANA HOLI FALIYA RAILWAY BREEZE KE PASS DEHADLA,JOBAT,DIST- ALIRAJPUR, M.P.",9926978035,,ALIRAJPUR,,457990,MADHYA PRADESH,DISTRICT
DRISHTI HERBAL CENTRE,"HEMANT KUMAR RAJWADE C/O Q.N - 870, W.NO. -26, SECL, MUDAPUR, KORBA, CHHATISGARH",9039992518,,KORBA,,495677,CHATTISGARH,DISTRICT
R.G. ENTERPRISES,"SUNITA DEVI C/O AT NARAYANA HOUSE SA 19/10 A-K DANIYALPIR, PO- NAKKHIGHAT DIST- VARANASI( U.P.) === GST NO ==== 09AIAPD3115D1Z1",9044804440,,VARANASI,,221007,UTTAR PRADESH,DISTRICT
SANIYA ENTERPRISE,"ANUWAR HOSSAIN C/O GIGRI MORE NH 34, PO- BHABANIPUR, PS- FARAKKA , DIST- MURSHIDABAD, WEST BENGAL",9563341043,,MURSHIDABAD,,742202,WEST BENGAL,DISTRICT
MAA LAXMI HHI CITY SHOP,"DILIP MONDAL C/O VILL- CHAIPAT, PS- DASPUR, DIST- PASCHIM MEDINIPUR, WEST BENGAL",7602665746,,MEDINIPUR,,721148,WEST BENGAL,DISTRICT
MD AKHTAR ANSARI,"MD AKHTAR ANSARI C/O KANCHANDIH, KAPASARA, CHIRKUNDA, DHANBAD, JHARKHAND",7004053841,,DHANBAD,,828204,JHARKHAND,DISTRICT
ANZAL HEALTH CARE POINT,"UMAIRA BEGUM C/O H.NO.117, MIRDAHI TOLA NEAR WATER TANK, DIST - SITAPUR , UTTAR PRADESH",8353916512,,SITAPUR,,261001,UTTAR PRADESH,DISTRICT
DHABAL STORES,"KOCHIN KUMAR DHABAL C/O SCHOOL DANGA .NEAR DI OFFICE, DIST- BANKURA, WEST BENGAL",9382924609,,BANKURA,,722101,WEST BENGAL,DISTRICT
PAWAN TAMANG,"PAWAN TAMANG C/O CHOWKI DARA PETROL PUMP, SONADA, KHASMAHAL, DARJEELING, SONADA,WEST BENGAL",6296052803,,DARJEELING,,734209,WEST BENGAL,DISTRICT
SAI PRASAD AGENCIES,"KISANRAO YASHWANTRAO JORVEKAR C/O PLOT NO.40, SAIDHAM, SANJAY GRAHNIRMAN SANGH, BHADGAON ROAD, TAKLI CHALISGAON, DIST- JALGAON, MAHARASHTRA",9423954087,,JALGAON,,424101,MAHARASHTRA,DISTRICT
M/S UNNATI ENTERPRISES,"ARUNA GUPTA C/O F19/B1,GROUND FLOOR,F BLOCK,DILSHAD COLONY, DELHI === GST NO === 07AIGPG0997E1ZA",9971015122,,ALIPUR,,110095,NEW DELHI,DISTRICT
M/S MOUTUSI CHAKRABORTY,"MOUTUSI CHAKRABORTY C/O Add -35/D/B RAJMOHAN ROAD, UTTARPARA ,Dist HOOGHLY , WEST BENGAL",9007650389,,HOOGHLY,,712258,WEST BENGAL,DISTRICT
SWAMI SAMARTH ENTERPRISES,"SATYANARAYAN RAMPAT SEHRAWAT C/O MILKAR NO. 0991 , PUNE SASWAD ROAD , OPP. HOTEL SAHYADRI , URULI DEVACHI , DIST - PUNE , M.H. GST NO ====27AQZPS1602F1ZJ",9850084924,,PUNE,,412308,MAHARASHTRA,WAREHOUSE
SAMIR BARAN DAS,"SAMIR BARAN DAS C/O MADANMOHANCHAK , CHANGRAKALAGANDA ,DIST - PURBA MEDINIPUR , W.B.",8918994524,,MEDINIPUR,,721651,WEST BENGAL,DISTRICT
M/S RUDRA ENTERPRISES,"RAKESH KUMAR C/O DEHRI ON SONE, MAKRAIN , WARD NO. 12, DEHRI ON SONE , ROHTAS , BIHAR",9504521965,,ROHTAS,,821305,BIHAR,DISTRICT
RUDRANSH HERBAL SHOPY,"SANJAY NAGPURE C/O W NO. 22 , NEAR MOTI TALAB , MOTI NAGAR , BALAGHAT , MADHYA PRADESH",7898445255,,BALAGHAT,,481001,MADHYA PRADESH,DISTRICT
SHREE SHYAM TRADING COMPANY,"TEJ RAM AGGARWAL = A - 129 , 130 , 131 , SUBHASH NAGAR SHOPPING CENTRE , JAIPUR , RAJASTHAN GST NO ---- 08AFGPA8770G2ZD",7357733631,,JAIPUR,,302016,RAJASTHAN,WAREHOUSE
AYUSH AUSHADHI KENDRA,"PANKAJ KUMAR TRIPATHI C/O 1, Baragaon Bazar, Baragaon, Varanasi, Uttar Pradesh, 221204--- 09AGRPT5784D1ZM--",8004356974,,VARANASI,,221204,UTTAR PRADESH,DISTRICT
MAA BHAWANI GENERAL STORE,"LAXMI PRASAD C/O D.B. ROAD ,SONADA , KHASMAHAL , DARJEELING ,WEST BENGAL",9800844228,,DARJEELING,,734209,WEST BENGAL,DISTRICT
LAXMI NARAYAN ENTERPRISE,"BHAGYADHAR SAMANTA C/O VILL - DEULIA BAZAR , NEAR UNION CORPORATION BANK , KOLAGHAT , PURBA MEDINIPUR , W.B.",9593924496,,MEDINIPUR,,721154,WEST BENGAL,DISTRICT
M/S SHRI KRISHNA ENTERPRISES,"ANIL KUMAR C/O NEAR RAJINDER PARDHAN HOUSE , CHHAJPUR KALAN , PANIPAT , H.R. === GST NO === 06AQYPK7703L1Z5",8685004000,,PANIPAT,,132104,HARYANA,DISTRICT
CHHANGTE SHOPPE,"CHRISTINA LALRINPUII C/O 26 , AIR ROAD , RAMTHAR VENG , NEUVA SECTION , LUNGLEI , MIZORAM === GST NO === 15AEQPL2754Q1ZR",8414906460,,LUNGLEI,,796701,MIZORAM,DISTRICT
KIRTI ENTERPRISES DELHI,"GEETA PATHAK C/O RZ - 1414 , 1414A, GF, SHOP NO. 16, GALI NO - 28 , TUGHLAKABAD EXTN. , SOUTH DELHI , DELHI === GST NO === 07ANYPP2257K2Z6",9555521021,,ALIPUR,,110019,NEW DELHI,WAREHOUSE
LAXMI HHI MART,"KOUSHLA KISHORE NAGAR C/O NRISINGH SCHOOL KE PASS ,SAROVAR NAGAR , WARD NO. 26 PIPEIDA , ITAWA , KOTA , R.J.",8432587928,,KOTA,,325004,RAJASTHAN,DISTRICT
JHARNA U SAMANTA,"JHARNA U SAMANTA C/O AT - P.O + P.S -CHANDRAKONA TOWN , DIST-PASCHIM MEDINIPUR , WEST BENGAL",9979208088,,MEDINIPUR,,721201,WEST BENGAL,DISTRICT
ANJALI TRADERS,"ANJALI MANDAL C/O VILL- PASCHIM BEGUNI , PO - CHAKSHYAMPUR , DIST - PASCHIM MEDINIPUR , WEST BENGAL=== GST NO === 19EYKPM0428L1ZY",9933325301,,MEDINIPUR,,721124,WEST BENGAL,WAREHOUSE
CHANDAN KUMAR YADAV,"CHANDAN KUMAR YADAV C/O AT - WARD NO. 8 , MUHAMMADPUR , DARBHANGA , BIHAR",8264864800,,DARBHANGA,,847306,BIHAR,DISTRICT
RAMA ENTERPRISE,"TARUN GOSWAMI C/O VILL - SAHID NITYA NANDA NAGAR , JOGPUR ROAD , CITY/ PO - RANAGHAT , DIST - NADIA , W.B.",9064866873,,NADIAD,,741201,WEST BENGAL,DISTRICT
M/S VIJAY KUMAR,"VIJAY KUMAR C/O 2/278 , N E B EXT. , ALWAR , R.J.",8233263960,,ALWAR,,301001,RAJASTHAN,DISTRICT
M/S ASHIRWAD TRADERS,"KAVITA NEERAJ SINGH C/O KAPTANGANJ ROAD , RAMKOLA , JANTA NEAR INTERCOLLEGE , MISHRA COMPLEX WARD NO. 3 , KUSHINAGAR , U.P.",9795783131,,KUSHINAGAR,,274403,UTTAR PRADESH,DISTRICT
TC.LALRAMCHHUANMAWIA,"TC ENTERPRISES C/O Z-11 ZAMPUIMANGA SECTION, VENGLAI PRESBYTERIAN CHURCH, CHAMPAI MIZORAM",8730971823,,ALIPUR,,796321,MIZORAM,DISTRICT
ROHIT KUMAR YADAV,"ROHIT KUMAR YADAV C/O SUNDARPURA , WARD NO. 13 , SIKAR , RAJASTHAN",8104448940,,SIKAR,,332402,RAJASTHAN,DISTRICT
ROYALY JAIN ENTERPRISES,"RITIK JAIN C/O 17/306, NEAR GURRDWARA , PATTI MEHAR , BARAUT , BAGHPAT , U.P.=== GST NO. === 09BQVPJ3808F1ZH",8273258257,,BAGHPAT,,250611,UTTAR PRADESH,DISTRICT
KC LALRAMCHHUANGI,"JOSEPH ENTERPRISE C/O 90, TUIKAUL , NORTH II , TOWN- AIZWAL MIZORAM",9862131990,,AIZAWL,,796001,MIZORAM,DISTRICT
D.K.R. INDUSTRY,"RAVINDER KUMAR C/O SHOP NO 11, BY 7092, AMAR MARKET, MOCHI MOHALLA, HANSI, HISAR, HARYANA=====06BTAPK8913L1ZG====",9813377707,,HISAR,,125033,HARYANA,DISTRICT
R.G. INFOTECH,"RAJIB NASKAR C/O BAISHNAB PARA , WARD NO.10 , KOLKATA , W.B.=== GST NO === 19ALCPN4718K1ZS",8478000088,,CALCUTTA,,700124,WEST BENGAL,DISTRICT
VRINDAVAN ENTERPRISE,"SACHIN BAGDI C/O SHARTI CITY COLONY , ARON , M.P.",9993474333,,ARONE,,473101,MADHYA PRADESH,DISTRICT
JAY SHIV TRADING,"ANIL KUMAR C/O MAROOFGANJ ROAD , P . DEVI , SAHARSA , BIHAR",9534933586,,SAHARSA,,852201,BIHAR,DISTRICT
A&V ENTERPRISE,"ANDREW LALENGLIANA C/O P E VENG , SERCHHIP , MIZORAM",9990624917,,SERCHHIP,,796181,MIZORAM,DISTRICT
DHIRAJ KUMAWAT,"DHIRAJ KUMAWAT C/O ADD. 771/8 , TATA NAGAR , RATLAM , M.P.",9827733304,,RATLAM,,457001,MADHYA PRADESH,DISTRICT
M/S MANALISA COMMUNICATION,"MUKUT DAIMARI C/O WARD NO. 3 , PND COMPLEX , (CENTRAL BANK ), NEAR POLICE STATION , PO- UDALGIRI , DIST - UDALGIRI BTAD , ASSAM=== GST NO.=== 18AIOPD3860F2Z7",9864045009,,UDALGIRI,,784509,ASSAM,DISTRICT
KH SURCHAND SINGH,"KH SURCHAND SINGH C/O VILL - SAGOLBAND TERA , LOUKRAAKPAM LEIRAK , IMPHAL , MANIPUR",8837309928,,IMPHAL,,795001,MANIPUR,DISTRICT
MADHAV ENTERPRISES,"RAKHI PUNDIR C/O AT 684/1, SHOP NO 5, RANA MARKET NEW ADARSH NAGAR,NEAR GREEN WAY SCHOOL ROORKEE ,UTTARAKHAND=== GST NO === 05FBOPP6719R1ZK",9897353920,,ROORKEE,,247667,UTTARAKHAND,DISTRICT
NEW ROHILLA ENTERPRISES,"VINIT C/O AHULANA (121) SONIPAT , HARYANA",9416985733,,SONIPAT,,131101,HARYANA,DISTRICT
DIYA STORE,"SAKHA DEVNATH C/O DHEKIAJULI , DHEKIAJULI , DIST - SONITPUR , ASSAM",6001079195,,SONITPUR,,784110,ASSAM,DISTRICT
ARUHI HHI CORNER DEPO,"SADANANDA MANDAL C/O VILL+PO-SENERA, PS -RAGHUNATHPUR , PURULIA ,WEST BENGAL--19ECUPM3859R1Z4",7063864244,,PURULIA,,723121,WEST BENGAL,DISTRICT
S.S ENTERPRISES,"SONU KUMAR GUPTA C/O AT KUND MUHALLA, OLD GARHWA ROAD, DIST- DALTONGANJ, JHARKHAND",7004690343,,DALTONGANJ,,822101,JHARKHAND,DISTRICT
HARSH ENTERPRISES,"ARJUN PRASAD C/O DEWAN CHOWK,NH28,SUGAULI, DIST - EAST CHAMPARAN , BIHAR",7903961363,,CHAMPARAN,,845456,BIHAR,DISTRICT
PURVA SALES,"POOJA MANMOHAN SOMANI C/O ADDRESS - 633, WEST MANGALWAR PETH BEHIND KOTAK MAHINDRA BANK TILAK CHOWK SOLAPUR , M.H.",9422409528,,SHOLAPUR,,413002,MAHARASHTRA,DISTRICT
G.R.P. ENTERPRISE,"NARAYAN CHANDRA PRAMANIK C/O VILL - ANDULIA PO- GEONKHALI , PS - MAHISHADAL , DIST - PURBA MEDINIPUR , W.B.",9434939649,,MEDINIPUR,,721603,WEST BENGAL,DISTRICT
ASHIRWAD TRADERS,"KAVITA NEERAJ SINGH C/O AJIT PLAZA BHAVAN SANKHYA , D 147 BUDDH VIHAR COMMERCIAL NIKAT LIC OFFICE TARAMANDAL ROAD , PANI TANKI SE PURAB , GORAKHPUR , U.P.",9987703873,,GORAKHPUR,,273001,UTTAR PRADESH,DISTRICT
ASHISH MARKETING HHI SHOPEE,"NAYAN CHANDULAL SANGHVI C/O PLOT NO 460, SECTOR 22, OPP MUNICIPAL HOSPITAL TURBHE, NAVI MUMBAI , M.H.",9029003160,,MUMBAI,,400703,MAHARASHTRA,DISTRICT
C.LALRINMAWIA,"HHI KOLASIB DISTRICT POINT C/O KHUANGPUILAM , KOLASIB , MIZORAM",7005641392,,KOLASIB,,796081,MIZORAM,DISTRICT
BIJAYA KUMAR SAHOO,"FRIENDS ENTERPRISES C/O AT/PO - MOTTO ,CHANDABALI ,DIST - BHADRAK, ORISSA",9938260736,,BHADRAK,,756132,ORISSA,DISTRICT
MY ANGEL STORES,"MY ANGEL STORES C/O AT GAT NO- 332, FLAT NO- 304, BHAGIRAH CLASSIC, NEAR MOSHI POLICE STATION, BORADEWADI MOSHI, Pune, Maharashtra, 412105--27ABRFM5040Q1ZI--",9207538957,,PUNE,,412105,MAHARASHTRA,DISTRICT
CHANDAN PANDA,"AVIK HHI ENTERPRISE C/O GHATUYA KANTHI , KANTHI , PURBA MEDINIPUR , WEST BENGAL",9434147011,,MEDINIPUR,,721433,WEST BENGAL,DISTRICT
M/S BASANTI ENTERPRISES,"SMT. BASANTI DASH PLOT .NO - 133/592 , KHATA NO 185/ 323 , KANTAPAL , CHARAMPA , BHADRAK GST NO ====== 21EAKPD5548A1Z7",7377372031,,BHADRAK,,756100,ORISSA,WAREHOUSE
YAWAN GURUNG,"YAWAN GURUNG C/O OLD ELECTRICITY JUDGE BAZAR , DARJEELING , WEST BENGAL =19AQRPG3196J1Z6",7908278505,,DARJEELING,,734101,WEST BENGAL,DISTRICT
SHREE SHYYAM ENTERPRISES,"TEJ RAM AGGARWALL ,WARD NO -6 , PACHIM BORAGAON , VIGYAN PATH , NIZARAPUR, GUWAHATI GST NO. ====18AEGFS3723N1ZK",9950330092,,GUWAHATI,,781028,ASSAM,WAREHOUSE
MALA DIPAK MAHESHGAWLI,"YES HERBAL INDIA C/O BRAHMKUMARI CHOWK, GONDIA , MAHARASHTRA",9421712665,,GONDIA,,441601,MAHARASHTRA,DISTRICT
SK MD JAVED,"JPS TRADERS C/O DN - 59 , SHASTRI AVENUE NEAR TENINS CLUB BIDHANNAGAR , DIST - DURGAPUR , W.B.",9161438802,,DURGAPUR,,713212,WEST BENGAL,DISTRICT
CHHOTI DEVI,"SAHAJ ENTERPRISES C/O BHILWARA , RAJASTHAN",7737836352,,BHILWARA,,311001,RAJASTHAN,DISTRICT
AASHIMA NIGHAWAN,"AASHIMA NIGHAWAN C/O H NO.106/15 , SAI DASS COLONY , ROHTAK , HARYANA",7206784366,,ROHTAK,,124001,HARYANA,DISTRICT
AL HERBAL INDIA,"YASMEEN HASSAN C/O H NO.123 , DABKI ROAD , GRAM DABKI JUNARDAR , SAHARANPUR , U.P.=== GST NO === 09BBRPH8281B1ZD",7060042724,,SAHARANPUR,,247001,UTTAR PRADESH,DISTRICT
PRADEEP KUMAR HRY,"PRADEEP KUMAR C/O H NO. 831/5, WARD NO.10 , MOHAN NAGAR , SARSWATI ,THANESAR , KURUKSHETRA , HARYANA",8708510790,,KURUKSHETRA,,136118,HARYANA,DISTRICT
VALASAREDDY INDIRA,"SRI KAMADHENU ENTERPRIS C/O 13-6-600/44/102,NEAR PARTHA DENTAL HOSPITAL,TIRUPATI,ANDHRA PRADESH",9666980566,,TIRUPATHI,,517501,ANDHRA PRADESH,DISTRICT
KUNAL HEALTHY PROSPEROUS LIFE CENTER,"SUSHMA C/O H NO.4 , ANAND GARDEN , SEC 105 , NEAR RAJENDRA PARK , THANA , GURGAON , HARYANA",9953148019,,GURGAON,,122001,HARYANA,DISTRICT
SUNEJA MULTITRADE,"LOKESH C/O B-15 , NAKODA COLONI , BARAN , BARAN , RAJASTHAN",9214432407,,BARAN,,325205,RAJASTHAN,DISTRICT
VISION GREEN CONSULTANCY SERVICES,"YES 11 MANAGEMENT SERVICES PVT LTS C/O POST OFFICE HARIPURNAYAK, H NO 32 A, CHINPUR, KUSUMKHERA, HARI ENCLAVE, COLONY, PHASE 2, HALDWANI, NANITAL UTTARAKHAND --05ASSPP9069J1ZT",9720003720,,HALDWANI,,263139,UTTARAKHAND,DISTRICT
ARUN TANEJA,"ARUN TANEJA C/O WARD NO. 5 , GALI NO. 8 , NAND COLONY , NO. 2 PEHOWA , KURUKSHETRA , HARYANA",9802125435,,KURUKSHETRA,,136128,HARYANA,DISTRICT
YUMNAM JENAN SINGH,"YUMNAM JENAN SINGH C/O NEAR MAIPAK HIGH SCHOOL , THOUBAL, HAOKHA MAMANG LEIKAI THOUBAL MUNICIPALITY , THOUBAL , MANIPUR",7085203330,,THOUBAL,,795138,MANIPUR,DISTRICT
TRUPTI AJAY MHATRE,"KAMALANANTTA ENTERPRISE C/O SHRI SAMPANDA BLDG G.5 NEAR GOD DEV NAKKA GOD DEV VILL - BHAYANDAR , EAST THANE , M.H.",8652334949,,THANE,,401105,MAHARASHTRA,DISTRICT
HVS ENTERPRISES,"MOBIN ALI C/O KANIHYA VIHAR , KARGI GRANT , DEHRADUN , UTTARAKHAND === GST NO === 05ALZPA3878N1ZA",8979957131,,DEHRADUN,,248001,UTTARAKHAND,DISTRICT
RAJU PRASAD,"R.P. ENTERPRISES C/O BILAYTI PLAZA (BAGHNATH) GORAKHPUR CHAURAHA , HATA BAZAR , KUSHINAGAR , U.P.",9336602990,,KUSHINAGAR,,274203,UTTAR PRADESH,DISTRICT
SINTU KUMAR,"JAY GURUDEV HERBAL STORE C/O KABRISTAN CHOK , BENGHA RODE , SAHARSA , BIHAR",8298262820,,SAHARSA,,852201,BIHAR,DISTRICT
SANTOSH SINGH,"ADITYA ENTERPRISES C/O WARD NO.8,H NO.19-3,NEAR ROADWAYS BUS STATION GAURI BAZAR , DEORIA , U.P.",9369359687,,DEORIA,,274202,UTTAR PRADESH,DISTRICT
GOPI NAIK R,"GOPI NAIK R C/O MADAN SINGH COMPLEX MALLIKRJUNA TALKIES, OPPOSITE SHIMOGA (D), KARNATAKA",9643485773,,SHIMOGA,,577201,KARNATAKA,DISTRICT
SUNIL KUMAR JAISWAL,"SUNIL KUMAR JAISWAL C/O SINDHORA , DIST - VARANASI , U.P.",9838481225,,VARANASI,,221208,UTTAR PRADESH,DISTRICT
C. VANLALRUATI,"HANNAH ENTERPRISE C/O SALEM VENG , DIAKKAWN , DIST - KOLASIB , MIZORAM",9862931030,,KOLASIB,,796081,MIZORAM,DISTRICT
MALSAWMDAWNGZELA,"PUIPUI STORE C/O Chaltlang Lily Veng , City : Aizawl , MIZORAM",8787528547,,AIZAWL,,796001,MIZORAM,DISTRICT
RAMNEIHMAWIA,"RAMNEIHMAWIA C/O Lower Chanmari II, Aizwal , MIZORAM",7005525870,,AIZAWL,,796261,MIZORAM,DISTRICT
PRINCE HHI DEPO,"YASHOMATI AJIT SAV C/O ADD .. GONDWANA NAGAR, OPP URDU SCHOOL, NEAR SHENDE POLICE HOUSE , KOSARA ( PADOLI ) CHANDERPUR",9921036377,,CHANDERI,,442401,MAHARASHTRA,DISTRICT
AMRENDRA KUMAR PRASAD,"MAA LAXMI ENTERPRISES C/O AT - RAM NAGAR , BY PASS ROAD , SANDHA , CHAPARA , (SARAN) , BIHAR",7979747336,,CHAPARA,,841301,BIHAR,DISTRICT
MUKESH KUMAR DF,"M/S HIMALAYA ENTERPRISES C/O AT - PRABHAT NAGAR , WARD NO. 13 , NEAR HOTEL SAROVAR GRAND BHAGWANPUR , MUZAFFARPUR , BIHAR",7461029238,,MUZAFFARPUR,,842002,BIHAR,DISTRICT
SALEHA TABASSUM,"SALEHA TABASSUM C/O VILL - PESRABAHIYAR 6 NO. PO CHAITADIH , PS - GIRIDIH MU , GIRIDIH , JHARKHAND",9334188662,,GIRIDIH,,815301,JHARKHAND,DISTRICT
S.G. ENTERPRISES,"BANITA C/O BENIWAL MOHALLA , MATA MANDIR ROAD , SAMALKHA , PANIPAT , SAMALKHA , HARYANA === GST NO === 06AQCPB4363K1Z0",9215624428,,PANIPAT,,132101,HARYANA,DISTRICT
D/F ANIL KUMAR,"ANIL KUMAR C/O AT - 108 , WARD NO. 10 , GOHANA , JANAK PURA , GOHANA , SONIPAT , HARYANA",9034740016,,SONIPAT,,131301,HARYANA,DISTRICT
SUNYABASI JENA,"SUNYABASI JENA C/O AT - NETAPUR , PO - ARILO , VIA - BALIKUDA , JAGATSINGHPUR , ORISSA",9777484954,,JAGATSINGHAPUR,,754106,ORISSA,DISTRICT
HARE KRISHAN SHARMA,"HARE KRISHAN SHARMA C/O JANTA COLONY , WARD NO. 17 , LADNU , NAGAUR , LADNUN , RAJASTHAN",6350534993,,LADNUN,,341306,RAJASTHAN,DISTRICT
SATYANARAYAN PATRA,"PATRA COMMUNICATION C/O AT - MAHARAKUL , PO - ARGAL , GOBINDPUR , KUTCHERY , AUL , DIST - KENDRAPARA , ORISSA",7008631543,,KENDRAPARA,,755061,ORISSA,DISTRICT
BHAWANI JWELERS,"HARINARAYAN BARVE C/O AT - HATTA DIST - BALAGHAT , MADHYA PRADESH === GST NO === 23AXQPB2082G1ZP",8989523919,,BALAGHAT,,481226,MADHYA PRADESH,DISTRICT
HARDEEP KUMAR DF,"HARDEEP KUMAR C/O AT - BHERTHAL , YAMUNA NAGAR , HARYANA",7082172500,,YAMUNANAGAR,,135001,HARYANA,DISTRICT
VIDYA DEVI PUROHIT,"VIDYA DEVI PUROHIT C/O AT - WARD NO. - 8 , GANESHPURA , NAVALGARH , JHUNJHUNU , R.J.",8279233104,,JHUNJHUNU,,333042,RAJASTHAN,DISTRICT
JEWSANE ASSOCIATION,"JEWSANE ASSOCIATION C/O VILL + PO - ONDA , DIST - BANKURA",9091673398,,BANKURA,,722144,WEST BENGAL,DISTRICT
KAMAL GASES,"KAMAL KISHORE C/O OPP. ST. FRANCIS ACADEMY , NARAINGARH ROAD , KALA AMB , TEH - NARAINGARH , DIST - AMBALA , HARYANA === GST NO === 06ASQPK9776R1ZC",9812640908,,AMBALA,,134203,HARYANA,DISTRICT
VAISHNAVI ENTERPRISES,"ASHISH AGGARWAL C/O AT - Gali No 12, Near Geeta Ashram School,Gandhi Colony, Muzaffarnagar, Uttar Pradesh === GST NO === 09AKZPA2199P1Z4",9412112305,,MUZAFFARNAGAR,,251001,UTTAR PRADESH,DISTRICT
SAVIDGE M. MALSAWMSANGA,"CHHAKCHHUAK HHI C/O AT - 45 , LAWNGTLAI , NEAR UPC (NE) CHURCH , LAWNGTLAI , MIZORAM",9612979228,,LAWNGTLAI,,796891,MIZORAM,DISTRICT
NIGAM ENTERPRISES,"TANMAYA KUMAR BARAL C/O GROUND FLOOR, PLOT NO. 1870, AT- RAHAMA, POST- RAHAMA, Jagatsinghapur, Odisha === GST NO === 21ARJPB6702G2ZC",7735305825,,JAGATSINGHAPUR,,754140,ORISSA,DISTRICT
SHARMA S SONS,"NARINDER KUMAR SHARMA C/O AT - SHOP NO. 6 , SM 6 , SHASTRI NAGAR , GHAZIABAD , UTTAR PRADESH === GST NO === 09CLGPS5641L1ZG",9911477369,,GHAZIABAD,,201002,UTTAR PRADESH,DISTRICT
BHAGYALAKSHMI C,"BHAGYALAKSHMI C C/O # 218-1053 , C P ROAD , MALUR , KOLAR , KARNATAKA",9738522712,,KOLAR,,563130,KARNATAKA,DISTRICT
